day3,,
feasible_stime,tranfertime,Num Car/s
13,0,31
30,1,57
44,1,68
35,4,75
19,4,78
18,1,82
26,3,85
15,2,85
21,3,86
20,4,86
22,1,87
20,2,86
17,0,87
11,2,86
8,0,86
10,1,85
9,1,84
9,1,82
9,1,82
15,4,81
9,1,80
7,2,80
6,2,79
11,0,78
7,2,77
10,0,76
11,0,75
21,0,75
26,2,74
38,2,75
41,6,75
39,3,76
50,3,77
65,4,79
74,5,81
82,3,83
66,4,84
91,3,86
86,2,88
107,7,90
89,5,92
72,6,93
66,11,95
74,6,97
54,1,98
73,5,99
81,7,100
86,6,101
64,1,102
77,5,103
84,1,103
95,2,104
83,2,105
73,2,106
69,5,106
81,6,107
97,7,108
64,5,108
88,4,109
87,2,110
88,5,111
89,6,112
89,12,113
85,4,113
107,7,115
103,4,116
102,5,117
116,4,118
113,4,119
140,10,120
110,5,121
145,7,123
152,5,124
163,5,125
168,6,126
204,7,128
165,7,129
197,8,131
182,16,132
183,9,134
177,11,136
184,7,137
172,7,138
143,5,140
125,9,140
125,9,141
127,10,142
120,11,143
117,7,144
118,13,145
112,7,145
115,8,146
98,4,146
98,7,147
101,4,148
88,12,148
