 Car allowed wait time used(%),Car flexibility(param.),Request Flexibility (param.),CarWaitTime,carDis, Car delay allowance used(%)
5.3209594,1.1,1.1,719542,13522787,0.053209594
5.1406347,1.1,1.2,725071,14104698,0.051406347
4.9186827,1.1,1.3,717437,14585958,0.049186827
4.7001452,1.1,1.4,708926,15083066,0.047001452
4.7016186,1.1,1.5,723246,15382915,0.047016186
4.5930727,1.1,1.6,712518,15512883,0.045930727
4.5278297,1.1,1.7,718632,15871445,0.045278297
4.420534,1.1,1.8,705078,15950064,0.04420534
4.4750338,1.1,1.9,721335,16119096,0.044750338
4.3879486,1.1,2,711060,16204839,0.043879486
4.3348762,1.1,2.1,706218,16291538,0.043348762
4.3298603,1.1,2.2,712894,16464596,0.043298603
4.2818578,1.1,2.3,708720,16551694,0.042818578
4.3187456,1.1,2.4,722954,16739907,0.043187456
4.2012107,1.1,2.5,704994,16780734,0.042012107
4.2599612,1.1,2.6,714327,16768392,0.042599612
4.2046085,1.1,2.7,706294,16798092,0.042046085
4.1580803,1.1,2.8,702448,16893565,0.041580803
4.1513965,1.1,2.9,705440,16992836,0.041513965
4.1598602,1.1,3,707348,17004129,0.041598602
11.2150364,1.2,1.1,1727638,15404658,0.112150364
10.9273181,1.2,1.2,1742175,15943299,0.109273181
10.9085493,1.2,1.3,1767059,16198845,0.109085493
10.5316244,1.2,1.4,1747258,16590584,0.105316244
10.4579845,1.2,1.5,1753779,16769761,0.104579845
10.310919,1.2,1.6,1760045,17069720,0.10310919
10.1315002,1.2,1.7,1746783,17241109,0.101315002
10.1490828,1.2,1.8,1783122,17569292,0.101490828
9.936922,1.2,1.9,1756677,17678281,0.09936922
10.073907,1.2,2,1781631,17685601,0.10073907
9.9815688,1.2,2.1,1773386,17766606,0.099815688
9.7977572,1.2,2.2,1751993,17881572,0.097977572
9.9943581,1.2,2.3,1804752,18057708,0.099943581
9.7837092,1.2,2.4,1776133,18153984,0.097837092
9.7455546,1.2,2.5,1765519,18116147,0.097455546
9.6893847,1.2,2.6,1769642,18263719,0.096893847
9.844549,1.2,2.7,1795996,18243558,0.09844549
9.7662435,1.2,2.8,1785153,18278809,0.097662435
9.7603226,1.2,2.9,1786006,18298637,0.097603226
9.6066411,1.2,3,1760668,18327613,0.096066411
17.3753134,1.3,1.1,2870342,16519656,0.173753134
17.0120029,1.3,1.2,2871901,16881616,0.170120029
16.7592106,1.3,1.3,2901497,17312850,0.167592106
16.6035189,1.3,1.4,2910825,17531374,0.166035189
16.3626194,1.3,1.5,2921233,17853089,0.163626194
16.3793114,1.3,1.6,2955585,18044623,0.163793114
16.0174994,1.3,1.7,2912139,18180984,0.160174994
16.2571398,1.3,1.8,2968305,18258470,0.162571398
16.0355016,1.3,1.9,2950070,18397117,0.160355016
15.62272,1.3,2,2905316,18596736,0.1562272
15.7719411,1.3,2.1,2939546,18637820,0.157719411
15.781697,1.3,2.2,2972476,18834958,0.15781697
15.5213481,1.3,2.3,2948516,18996520,0.155213481
15.6497851,1.3,2.4,2959693,18912036,0.156497851
15.6244868,1.3,2.5,2959180,18939374,0.156244868
15.5002522,1.3,2.6,2965195,19129979,0.155002522
15.5238992,1.3,2.7,2944646,18968469,0.155238992
15.5753768,1.3,2.8,2975396,19103204,0.155753768
15.509826,1.3,2.9,2958709,19076352,0.15509826
15.4493866,1.3,3,2962795,19177428,0.154493866
23.2821882,1.4,1.1,3985780,17119439,0.232821882
22.8451961,1.4,1.2,4022724,17608621,0.228451961
22.5363856,1.4,1.3,4018844,17832691,0.225363856
22.5395756,1.4,1.4,4094652,18166500,0.225395756
22.1611728,1.4,1.5,4064471,18340505,0.221611728
22.0822562,1.4,1.6,4142760,18760583,0.220822562
21.9847662,1.4,1.7,4121064,18745089,0.219847662
21.9883688,1.4,1.8,4133761,18799762,0.219883688
21.7314915,1.4,1.9,4128110,18995981,0.217314915
21.7754855,1.4,2,4133000,18980059,0.217754855
21.6775363,1.4,2.1,4144159,19117297,0.216775363
21.7815897,1.4,2.2,4208891,19323158,0.217815897
21.6703522,1.4,2.3,4181260,19294841,0.216703522
21.3244702,1.4,2.4,4124160,19340035,0.213244702
21.3824343,1.4,2.5,4139440,19359068,0.213824343
21.6155337,1.4,2.6,4225863,19550121,0.216155337
21.3347077,1.4,2.7,4140703,19408295,0.213347077
21.3319132,1.4,2.8,4157736,19490685,0.213319132
21.2519419,1.4,2.9,4158451,19567393,0.212519419
21.2890861,1.4,3,4169241,19583936,0.212890861
