Request Allowed Wait Time Used(%),Car flexibility (param.),Req. flexibility (param.),reqWaitTime,reqDis,Requests Flexibility Used
0.366174,1.1,1.1,32137,8776429,0.00366174
1.31559,1.1,1.2,121685,9249462,0.0131559
2.4803983,1.1,1.3,236307,9526978,0.024803983
3.6495431,1.1,1.4,358564,9824901,0.036495431
4.595704,1.1,1.5,458557,9977949,0.04595704
5.7292791,1.1,1.6,574972,10035678,0.057292791
6.6104054,1.1,1.7,671577,10159392,0.066104054
7.5368571,1.1,1.8,766557,10170778,0.075368571
8.193742,1.1,1.9,835034,10191119,0.08193742
8.7814601,1.1,2,906359,10321279,0.087814601
9.2008372,1.1,2.1,945331,10274402,0.092008372
10.4356375,1.1,2.2,1072560,10277858,0.104356375
10.7461469,1.1,2.3,1116950,10393958,0.107461469
11.4709442,1.1,2.4,1188346,10359618,0.114709442
11.6655491,1.1,2.5,1207064,10347254,0.116655491
12.3781824,1.1,2.6,1291824,10436298,0.123781824
12.1950048,1.1,2.7,1269245,10407909,0.121950048
13.3133868,1.1,2.8,1401922,10530168,0.133133868
13.7782637,1.1,2.9,1441310,10460752,0.137782637
13.6866145,1.1,3,1428076,10434107,0.136866145
0.2108117,1.2,1.1,22155,10509378,0.002108117
0.8596547,1.2,1.2,94138,10950676,0.008596547
1.5981326,1.2,1.3,178285,11155833,0.015981326
2.4519042,1.2,1.4,278206,11346528,0.024519042
3.1145262,1.2,1.5,358229,11501878,0.031145262
4.0790424,1.2,1.6,470529,11535281,0.040790424
4.3816917,1.2,1.7,508814,11612273,0.043816917
5.4005005,1.2,1.8,634610,11750948,0.054005005
5.7961899,1.2,1.9,684556,11810448,0.057961899
6.1262572,1.2,2,718073,11721235,0.061262572
6.9909289,1.2,2.1,822348,11763072,0.069909289
7.3765267,1.2,2.2,872227,11824359,0.073765267
7.7355085,1.2,2.3,922005,11919126,0.077355085
8.299426,1.2,2.4,986740,11889256,0.08299426
8.4956754,1.2,2.5,1009274,11879856,0.084956754
9.0163287,1.2,2.6,1068693,11852862,0.090163287
9.0053799,1.2,2.7,1070523,11887594,0.090053799
9.0450519,1.2,2.8,1078172,11920020,0.090450519
9.6564137,1.2,2.9,1149752,11906615,0.096564137
9.7020717,1.2,3,1153069,11884771,0.097020717
0.1405682,1.3,1.1,16332,11618558,0.001405682
0.610253,1.3,1.2,72969,11957171,0.00610253
1.254779,1.3,1.3,152365,12142776,0.01254779
2.0815837,1.3,1.4,255399,12269456,0.020815837
2.6716007,1.3,1.5,333749,12492473,0.026716007
3.1962691,1.3,1.6,399296,12492565,0.031962691
3.9686207,1.3,1.7,498342,12557058,0.039686207
