Car flexibility (param.),Worst case CPU time(s),Max. number of car/s
1.1,0.097759325,401
1.1,0.075951836,385
1.1,0.076851044,381
1.1,0.074542231,376
1.1,0.067163461,352
1.1,0.065749044,360
1.1,0.071249518,376
1.1,0.065303771,352
1.1,0.077285731,338
1.1,0.070885087,374
1.1,0.075208217,355
1.1,0.058323757,338
1.1,0.068313216,360
1.1,0.064546998,346
1.1,0.067773947,345
1.1,0.058335948,328
1.1,0.064978477,352
1.1,0.056076217,333
1.1,0.076712779,329
1.1,0.057797963,333
1.2,0.113589308,453
1.2,0.14662776,438
1.2,0.096790824,433
1.2,0.179124377,435
1.2,0.106830648,436
1.2,0.169414979,416
1.2,0.099917041,414
1.2,0.170782238,407
1.2,0.088767562,398
1.2,0.154116565,409
1.2,0.103975829,415
1.2,0.087921927,391
1.2,0.085516232,374
1.2,0.134063543,394
1.2,0.087754147,386
1.2,0.085499229,399
1.2,0.081046495,389
1.2,0.150709646,393
1.2,0.082031999,390
1.2,0.148237866,396
1.3,0.13290256,507
1.3,0.12998294,493
1.3,0.114352496,484
1.3,0.123246415,492
1.3,0.114197228,479
1.3,0.111223392,472
1.3,0.121562845,479
1.3,0.120062775,477
1.3,0.126790637,478
1.3,0.103448752,450
1.3,0.111731222,453
1.3,0.11208667,459
1.3,0.141947256,450
1.3,0.105520492,460
1.3,0.104665875,462
1.3,0.101654826,451
1.3,0.107296132,454
1.3,0.101516239,449
1.3,0.125697344,448
1.3,0.109537897,480
1.4,0.172001607,561
1.4,0.153468866,557
1.4,0.201605871,543
1.4,0.14695979,528
1.4,0.174236956,530
1.4,0.138555736,527
1.4,0.153098019,538
1.4,0.146390366,536
1.4,0.14081707,516
1.4,0.170924674,523
1.4,0.160204107,556
1.4,0.165939087,525
1.4,0.130666248,502
1.4,0.155937118,513
1.4,0.13902122,520
1.4,0.138216648,502
1.4,0.139606363,506
1.4,0.167261434,530
1.4,0.138313851,517
1.4,0.150412904,508
1.5,0.272597785,644
1.5,0.121133933,610
1.5,0.1950506,625
1.5,0.170193886,597
1.5,0.193310248,603
1.5,0.188919429,598
1.5,0.174539472,591
1.5,0.227643137,596
1.5,0.168829515,571
1.5,0.240384436,588
1.5,0.171853717,588
1.5,0.24987601,579
1.5,0.181206704,587
1.5,0.21101564,586
1.5,0.186037343,603
1.5,0.180238523,580
1.5,0.172791742,589
1.5,0.181602894,583
1.5,0.16588423,577
1.5,0.176633669,585
1.1,0.021885123,232
1.1,0.021500161,226
1.1,0.025394378,227
1.1,0.027875462,224
1.1,0.022527048,205
1.1,0.023632533,209
1.1,0.02447528,215
1.1,0.022850738,208
1.1,0.021234857,201
1.1,0.024378718,216
1.1,0.018987959,204
1.1,0.019955819,198
1.1,0.019650736,190
1.1,0.019746015,196
1.1,0.019561232,194
1.1,0.021794978,199
1.1,0.019694686,185
1.1,0.018371056,183
1.1,0.019285343,206
1.1,0.020681153,195
1.2,0.142232449,253
1.2,0.032726632,245
1.2,0.029053448,237
1.2,0.032435986,235
1.2,0.029649819,234
1.2,0.025586859,237
1.2,0.027576474,226
1.2,0.026256053,225
1.2,0.030802461,227
1.2,0.028124405,226
1.2,0.024217997,220
1.2,0.027389447,215
1.2,0.026532263,227
1.2,0.025309366,219
1.2,0.026899261,219
1.2,0.022591209,209
1.2,0.020874597,216
1.2,0.022900783,214
1.2,0.020600952,202
1.2,0.023574467,211
1.3,0.040742195,264
1.3,0.040270295,273
1.3,0.037757131,260
1.3,0.035720358,256
1.3,0.037671156,264
1.3,0.036635607,259
1.3,0.036658063,273
1.3,0.030097979,246
1.3,0.030100546,245
1.3,0.031111073,247
1.3,0.028375593,243
1.3,0.029468566,233
1.3,0.026761958,244
1.3,0.031480958,238
1.3,0.030399213,245
1.3,0.028144936,242
1.3,0.028339663,228
1.3,0.031205068,236
1.3,0.027211722,228
1.3,0.035227927,254
1.4,0.048021517,292
1.4,0.047290409,300
1.4,0.046886519,295
1.4,0.044576102,288
1.4,0.04219575,276
1.4,0.045228292,282
1.4,0.043677856,288
1.4,0.045236633,289
