day,reqWaitTime,reqDis,CarWaitTime,carDis,Rides,NumCar,NumReq,C:R ratio,carFlex,ReqFlex,NumFeasible,totalCPUtime,tranferTimes
1,32137,8776429,719542,13522787,34096,22731,11365,2,1.1,1.1,7045,249.65785583536115,211
1,121685,9249462,725071,14104698,34096,22731,11365,2,1.1,1.2,7334,275.8504134818985,306
1,236307,9526978,717437,14585958,34096,22731,11365,2,1.1,1.3,7536,221.66394048991526,406
1,358564,9824901,708926,15083066,34096,22731,11365,2,1.1,1.4,7714,249.39983530017273,488
1,458557,9977949,723246,15382915,34096,22731,11365,2,1.1,1.5,7865,206.79593485919796,577
1,574972,10035678,712518,15512883,34096,22731,11365,2,1.1,1.6,7931,230.02970243033522,610
1,671577,10159392,718632,15871445,34096,22731,11365,2,1.1,1.7,8015,199.64172397797378,679
1,766557,10170778,705078,15950064,34096,22731,11365,2,1.1,1.8,8058,224.2181162753828,689
1,835034,10191119,721335,16119096,34096,22731,11365,2,1.1,1.9,8146,195.89078322564117,748
1,906359,10321279,711060,16204839,34096,22731,11365,2,1.1,2.0,8207,219.8640033029768,805
1,945331,10274402,706218,16291538,34096,22731,11365,2,1.1,2.1,8199,192.956659307464,789
1,1072560,10277858,712894,16464596,34096,22731,11365,2,1.1,2.2,8237,210.16828447195564,887
1,1116950,10393958,708720,16551694,34096,22731,11365,2,1.1,2.3,8337,200.27523798708432,882
1,1188346,10359618,722954,16739907,34096,22731,11365,2,1.1,2.4,8362,209.01931068598628,963
1,1207064,10347254,704994,16780734,34096,22731,11365,2,1.1,2.5,8372,199.25906089659188,914
1,1291824,10436298,714327,16768392,34096,22731,11365,2,1.1,2.6,8411,201.0269271708502,947
1,1269245,10407909,706294,16798092,34096,22731,11365,2,1.1,2.7,8414,200.07238612004426,932
1,1401922,10530168,702448,16893565,34096,22731,11365,2,1.1,2.8,8474,196.54149511771217,975
1,1441310,10460752,705440,16992836,34096,22731,11365,2,1.1,2.9,8474,191.4632505086318,1001
