CarWaitTime,carFlex,ReqFlex
0.022603388,1.1,1.1
0.022777073,1.1,1.2
0.022537262,1.1,1.3
0.022269901,1.1,1.4
0.022719743,1.1,1.5
0.022382739,1.1,1.6
0.022574801,1.1,1.7
0.022149022,1.1,1.8
0.022659712,1.1,1.9
0.022336938,1.1,2
0.022184833,1.1,2.1
0.02239455,1.1,2.2
0.02226343,1.1,2.3
0.022710571,1.1,2.4
0.022146383,1.1,2.5
0.022439566,1.1,2.6
0.022187221,1.1,2.7
0.022066404,1.1,2.8
0.022160393,1.1,2.9
0.02222033,1.1,3
0.054271288,1.2,1.1
0.054727947,1.2,1.2
0.055509643,1.2,1.3
0.054887623,1.2,1.4
0.055092471,1.2,1.5
0.055289308,1.2,1.6
0.054872701,1.2,1.7
0.056014239,1.2,1.8
0.055183507,1.2,1.9
0.055967402,1.2,2
0.055708397,1.2,2.1
0.055036366,1.2,2.2
0.056693715,1.2,2.3
0.05579469,1.2,2.4
0.055461266,1.2,2.5
0.055590784,1.2,2.6
0.056418658,1.2,2.7
0.05607804,1.2,2.8
0.056104836,1.2,2.9
0.055308879,1.2,3
0.090167708,1.3,1.1
0.090216681,1.3,1.2
0.091146398,1.3,1.3
0.091439423,1.3,1.4
0.091766376,1.3,1.5
0.092845495,1.3,1.6
0.091480701,1.3,1.7
0.093245076,1.3,1.8
0.092672249,1.3,1.9
0.091266366,1.3,2
0.092341653,1.3,2.1
0.093376102,1.3,2.2
0.092623433,1.3,2.3
0.092974542,1.3,2.4
0.092958427,1.3,2.5
0.09314738,1.3,2.6
0.092501862,1.3,2.7
0.09346783,1.3,2.8
0.092943631,1.3,2.9
0.093071987,1.3,3
0.125207604,1.4,1.1
0.126368148,1.4,1.2
0.126246263,1.4,1.3
0.128627663,1.4,1.4
0.12767957,1.4,1.5
0.130138908,1.4,1.6
0.129457359,1.4,1.7
0.129856217,1.4,1.8
0.129678699,1.4,1.9
0.129832311,1.4,2
0.130182855,1.4,2.1
0.132216319,1.4,2.2
0.13134833,1.4,2.3
0.129554615,1.4,2.4
0.130034615,1.4,2.5
0.13274947,1.4,2.6
0.13007429,1.4,2.7
0.130609357,1.4,2.8
0.130631818,1.4,2.9
0.130970771,1.4,3
0.16157972,1.5,1.1
0.163511592,1.5,1.2
0.163761047,1.5,1.3
0.165577129,1.5,1.4
0.166431515,1.5,1.5
0.168140602,1.5,1.6
0.167910215,1.5,1.7
